"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.911528926444915,0.975418145591289,0.975418145591289,0.975418145591289,NA,0,0,0,0
"NSC",0.911528926444915,1,0.979742662279762,0.979742662279762,0.979742662279762,0,NA,0,0,0
"No_data",0.975418145591289,0.979742662279762,1,1,1,0,0,NA,0,0
"8",0.975418145591289,0.979742662279762,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.975418145591289,0.979742662279762,1,1,1,0,0,0,0,NA
