"","black","blue","brown","cyan","darkgreen","darkgrey","darkmagenta","darkolivegreen","darkorange","darkred","darkturquoise","green","greenyellow","grey","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","orange","paleturquoise","pink","plum1","purple","red","royalblue","saddlebrown","salmon","sienna3","skyblue","skyblue3","steelblue","tan","turquoise","violet","white","yellow","yellowgreen"
"1","GGA1","LINC00351","OR5AN1","LINCMD1","AC087379.2","LRRC74A","AC107016.2","AC026371.1","MRPS21P1","AC092639.1","AL078624.2","AC019211.1","LINC01738","LINC00221","UFM1","AC068722.1","COPB1","RALGAPB","AC084048.1","MMS19","PAGE1","AC069152.1","GABRA6","MT-TL2","PHAX","GAPVD1","KIAA2012","KCNJ15","EPSTI1","LRRC77P","AC092447.8","C5orf17","BUB1","EXOC5","AC091939.1","TRMT2B-AS1","AL133232.1","WFDC5","MAGEB1"
"2","ANKRD54","LINC00393","TDRD15","AL049836.2","AC013565.3","AL391095.2","AC078776.2","AC073913.1","RNU2-36P","RNU6-1097P","SAMD3","AC067956.1","AP000439.2","COL17A1","MICU2","LINC02408","RIC8A","CSNK2A1","AC005772.1","ACTR1A","USP26","AC099654.1","CCDC155","MT-TI","RPL26L1","ZBTB43","ROPN1L","CEACAM3","RSAD2","HTR2C","AL356272.1","MTCO2P23","NCAPH","DCAF5","LINC01641","AP001970.1","DGUOK-AS1","BPIFA1","ZNF735"
"3","MCAT","LINC00301","CRISP2","MYL1","AP000781.1","TEX41","IGHVII-74-1","CSN1S1","AC016727.2","RPS29P9","LINC02346","CXXC4-AS1","RNA5SP482","IGHVIII-47-1","WBP4","TECRL","PTDSS2","PSMF1","HNRNPCL1","CUEDC2","MARCOL","RN7SL266P","LINC01179","MT-TK","CSNK1A1","RABGAP1","RSPH10B","ADGRG3","STAT1","AL020994.2","LINC00624","AC004160.1","TPX2","PPP2R5E","MIR4422HG","AL354702.2","AC243972.2","NEU2","AC244452.3"
"4","MIEF1","NALCN-AS1","OR6C6","TRIM51","AL451065.1","AC012081.1","DNAJB5P1","LINC02375","RNA5SP367","MTCYBP8","AL591424.3","LINC00970","FGF19","SLC16A12","PAN3","BPIFC","RNH1","IDH3B","AL139390.1","SLF2","AC026785.3","ZNF479","AC005064.1","MT-TS2","AFF4","TOR1A","TTC29","ADGRE3","IFIH1","LINC02137","LINC01518","AP006295.1","NCAPG","AREL1","AC091114.1","AC243967.2","AL035541.1","PGLYRP4","LINC02184"
"5","PPP6R2","LINC02532","TMPRSS11B","MYL10","AL603756.1","CYP2A13","AC116353.3","RNU1-104P","RNU6-1180P","RPPH1-2P","SMIM36","LINGO2","AC073987.1","AC016590.1","N4BP2L2","BANK1","PDHX","MKKS","HSPA8P13","MCMBP","ADGRG4","MTCO3P4","AC025284.1","MT-TQ","SMAD5","USP20","LINC01513","MIR3945HG","HERC6","ANO3","LINC00308","AC113347.4","KIFC1","FCF1","LINC02201","LINC01641","AL358232.1","C20orf173","LINC01667"
"6","ATXN10","AL591518.1","CSN3","OR9M1P","AC073934.1","OVOL2","RNU6-1134P","ANO2","RNU5E-5P","RNY4P28","AL591424.1","CNTN4","SLC9A4","AC091953.3","COG3","LINC02133","BET1L","NSFL1C","ZSWIM2","SUFU","AL121956.1","RNA5SP121","AC007614.1","MT-TV","ZNF346","RAB14","IQANK1","TREML2","CMPK2","SLC5A7","AC073488.10","RNU6-284P","KIF23","PCNX4","AC092650.1","AC091939.1","GFRA3","LCE3C","DUX4L35"
"7","HPS4","LINC02267","OR6C1","MYMK","AL121987.1","PLA2G4D","AP000345.1","AC019209.1","CLDN4","RNU6-996P","CRYM-AS1","LINC01680","LINC02106","AC245047.8","RNF6","AC104041.1","TSSC4","DDX27","AC092098.1","CHUK","FGFBP1","HMGB1P48","ZP2","MT-TT","CDC23","PPP6C","DNAH12","HAL","ISG15","LINC01621","AC073488.9","MTND1P20","HJURP","AP5M1","AC023669.2","AC093534.2","AL049870.3","TFF2","MAGEC1"
"8","BRD1","AC096577.1","OR4F13P","TNNI1","CABP5","CACNG3","AC024681.2","AL513043.1","AC006158.1","AC009902.1","AC079098.1","AL445433.2","HORMAD2","AC140172.1","GTF2F2","LINC01916","SBF2","PTPRA","CLNK","SHOC2","OR2J3","RNU7-155P","CRTAM","MT-TL1","LARP1","GPR107","PPP1R42","RHOH","DDX58","LINC02304","AC073488.3","LINC01685","CENPF","ALKBH1","LINC01307","MIR4422HG","AC010649.1","LGALS16","MROH2A"
"9","L3MBTL2","LINC02402","OR5T2","LINC02152","AL691403.1","NR5A1","RN7SKP229","BANCR","BX510359.4","MTND3P19","GYG2P1","ASIC2","GCGR","FENDRR","SPART","LINC02291","PHRF1","MANBAL","PRSS38","TNKS2","MROH2B","AC005094.1","TMEM266","MT-TW","CAMLG","MRPL50","DNAI2","IL18RAP","MX1","AC079097.1","AC073488.5","AC063952.1","NUSAP1","SLC39A9","LINC01643","AC063980.1","RNU6-804P","PGLYRP3","CSF2RBP1"
"10","ZC3H7B","AC004704.1","AMTN","CHRND","AC021151.1","PADI1","PMIS2","USP44","CHCHD2P4","AL591704.1","AC092546.1","KHDRBS2","POFUT1","CCT6A","DIS3","AC140118.1","SBF2-AS1","DHX35","LGALS9C","WBP1L","PSG4","AC099654.6","AKAIN1","MT-TD","BRD8","TEX10","CCDC33","CD177","PARP14","KCNJ1","AC073488.11","AP002759.1","BIRC5","GPATCH2L","AL157714.2","CCL15-CCL14","DPYS","ALDH3B2","MAGEB2"
